2024-11-26 23:37:03 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-26 23:37:03 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-26 23:37:03 INFO  AllureUIListener.onTestSuccess - Test passed: ui.LoginTest#loginSuccessTest
2024-11-26 23:37:03 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-26 23:37:04 INFO  AllureUIListener.afterInvocation - After method invocation: ui.LoginTest#closeBrowser
2024-11-26 23:37:04 INFO  AllureUIListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-26 23:37:04 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-26 23:37:05 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:08 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#loginTest
2024-11-27 11:24:13 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#loginTest
2024-11-27 11:24:13 INFO  AllureUIListener.afterInvocation - Test finished successfully: loginTest
2024-11-27 11:24:13 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:13 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:13 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#loginTest
2024-11-27 11:24:13 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:14 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#createMuseum
2024-11-27 11:24:18 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#createMuseum
2024-11-27 11:24:18 INFO  AllureUIListener.afterInvocation - Test finished successfully: createMuseum
2024-11-27 11:24:18 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:18 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:18 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#createMuseum
2024-11-27 11:24:18 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:18 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#createMuseum
2024-11-27 11:24:22 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#createMuseum
2024-11-27 11:24:22 INFO  AllureUIListener.afterInvocation - Test finished successfully: createMuseum
2024-11-27 11:24:22 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:22 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:22 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#createMuseum
2024-11-27 11:24:22 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:22 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#deleteMuseumTest
2024-11-27 11:24:25 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#deleteMuseumTest
2024-11-27 11:24:25 INFO  AllureUIListener.afterInvocation - Test finished successfully: deleteMuseumTest
2024-11-27 11:24:25 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:25 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:25 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#deleteMuseumTest
2024-11-27 11:24:25 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:25 INFO  AllureUIListener.onTestStart - Test started: ui.MuseumTest#logoutTest
2024-11-27 11:24:26 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#logoutTest
2024-11-27 11:24:26 INFO  AllureUIListener.afterInvocation - Test finished successfully: logoutTest
2024-11-27 11:24:26 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:26 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:26 INFO  AllureUIListener.onTestSuccess - Test passed: ui.MuseumTest#logoutTest
2024-11-27 11:24:26 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:28 INFO  AllureUIListener.afterInvocation - After method invocation: ui.MuseumTest#closeBrowser
2024-11-27 11:24:28 INFO  AllureUIListener.afterInvocation - Test finished successfully: closeBrowser
2024-11-27 11:24:28 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:30 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:41 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#loginTest
2024-11-27 11:24:47 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#loginTest
2024-11-27 11:24:47 INFO  AllureUIListener.afterInvocation - Test finished successfully: loginTest
2024-11-27 11:24:47 INFO  AllureUIListener.attachDOM - Capturing page DOM...
2024-11-27 11:24:47 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:48 INFO  AllureUIListener.onTestSuccess - Test passed: ui.PostTest#loginTest
2024-11-27 11:24:48 INFO  AllureUIListener.makeScreenShot - Capturing screenshot...
2024-11-27 11:24:48 INFO  AllureUIListener.onTestStart - Test started: ui.PostTest#createPostTest
2024-11-27 11:24:53 INFO  AllureUIListener.afterInvocation - After method invocation: ui.PostTest#createPostTest
2024-11-27 11:24:53 INFO  AllureUIListener.afterInvocation - Test finished successfully: createPostTest
